id,year,year update,Country Asset,cont,name_eng,name_esp,name_fra,file_eng,file_esp,file_fra,file_other,file_c,file_r,off_c,off_r,Main product,Diss,Prod Type,Prod,sub_n,River,Topic GCPE,Topic WR,Topic WU,Topic Irr,Topic Prosp,Abstract_eng,Abstract_esp,Abstract_fra,blankcell?
19.1,2005,2014,,,Geo-referenced dams database for Africa,,,"<a href = ""http://www.fao.org/nr/water/aquastat/dams/region/D_Africa.xlsx""> Link </a>",,,,,Africa (World),"DZA,EGY,LBY,MAR,TUN,AGO,CMR,CAF,COG,COD,GNQ,GAB,STP,BDI,ETH,KEN,RWA,UGA,TZA,BEN,CIV,GHA,GIN,GNB,LBR,NGA,SLE,TGO,COM,MDG,MUS,SYC,BWA,LSO,MWI,MOZ,NAM,ZAF,SWZ,ZMB,ZWE,BFA,CPV,TCD,DJI,ERI,GMB,MLI,MRT,NER,SEN,SOM,SDN,MYT,REU,SHN,ESH",Africa (World),b_main_n,B_d_n,Excel,Table,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,The dam databases are provided as Excel files. Each file has two sheets: the first sheet contains the database and the second sheet contains the legend.,Las bases de datos sobre las presas se presentan como archivos de Excel. Cada archivo tiene dos hojas: la primera hoja contiene la base de datos y la segunda hoja contiene la leyenda.,"Les bases de données sur les barrages sont fournies comme des fichier Excel. Ce fichier Excel a deux feuilles: la première contient la base de données et la seconde, la légende.",busy
19.2,2011,2014,,,Geo-referenced dams database for Middle East,,,"<a href = ""http://www.fao.org/nr/water/aquastat/dams/region/D_Middle East.xlsx""> Link </a>",,,,,Middle East (Asia),"BHR,KWT,OMN,QAT,SAU,ARE,YEM,ARM,AZE,GEO,IRN,IRQ,ISR,JOR,LBN,PSE,SYR,TUR",Middle East (Asia),b_main_n,B_d_n,Excel,Table,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,The dam databases are provided as Excel files. Each file has two sheets: the first sheet contains the database and the second sheet contains the legend.,Las bases de datos sobre las presas se presentan como archivos de Excel. Cada archivo tiene dos hojas: la primera hoja contiene la base de datos y la segunda hoja contiene la leyenda.,"Les bases de données sur les barrages sont fournies comme des fichier Excel. Ce fichier Excel a deux feuilles: la première contient la base de données et la seconde, la légende.",busy
19.3,2013,2014,,,Geo-referenced dams database for Central Asia,,,"<a href = ""http://www.fao.org/nr/water/aquastat/dams/region/D_C. Asia.xlsx""> Link </a>",,,,,Central Asia (Asia),"AFG,KAZ,KGZ,TJK,TKM,UZB",Central Asia (Asia),b_main_n,B_d_n,Excel,Table,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,The dam databases are provided as Excel files. Each file has two sheets: the first sheet contains the database and the second sheet contains the legend.,Las bases de datos sobre las presas se presentan como archivos de Excel. Cada archivo tiene dos hojas: la primera hoja contiene la base de datos y la segunda hoja contiene la leyenda.,"Les bases de données sur les barrages sont fournies comme des fichier Excel. Ce fichier Excel a deux feuilles: la première contient la base de données et la seconde, la légende.",busy
19.4,2013,2014,,,Geo-referenced dams database for Southern and Eastern Asia,,,"<a href = ""http://www.fao.org/nr/water/aquastat/dams/region/D_SE Asia.xlsx""> Link </a>",,,,,Southern and Eastern Asia (Asia),"CHN,PRK,JPN,MNG,KOR,KHM,LAO,MMR,THA,VNM,BRN,IDN,MYS,PNG,PHL,SGP,TLS,BGD,BTN,IND,MDV,NPL,PAK,LKA",Southern and Eastern Asia (Asia),b_main_n,B_d_n,Excel,Table,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,The dam databases are provided as Excel files. Each file has two sheets: the first sheet contains the database and the second sheet contains the legend.,Las bases de datos sobre las presas se presentan como archivos de Excel. Cada archivo tiene dos hojas: la primera hoja contiene la base de datos y la segunda hoja contiene la leyenda.,"Les bases de données sur les barrages sont fournies comme des fichier Excel. Ce fichier Excel a deux feuilles: la première contient la base de données et la seconde, la légende.",busy
19.5,2013,2014,,,Geo-referenced dams database for Europe,,,"<a href = ""http://www.fao.org/nr/water/aquastat/dams/region/D_Europe.xlsx""> Link </a>",,,,,Europe (World),"BLR,EST,LVA,LTU,MDA,UKR,RUS,GIB,IMY,SJM,BIH,BGR,HRV,CZE,HUN,MNE,POL,ROU,SRB,SVK,SVN,ALB,CYP,GRC,VAT,ITA,MLT,MCO,PRT,SMR,ESP,MKD,DNK,FRO,FIN,ISL,NOR,SWE,AND,AUT,BEL,FRA,DEU,IRL,LIE,LUX,NLD,CHE,GBR",Europe (World),b_main_n,B_d_n,Excel,Table,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,The dam databases are provided as Excel files. Each file has two sheets: the first sheet contains the database and the second sheet contains the legend.,Las bases de datos sobre las presas se presentan como archivos de Excel. Cada archivo tiene dos hojas: la primera hoja contiene la base de datos y la segunda hoja contiene la leyenda.,"Les bases de données sur les barrages sont fournies comme des fichier Excel. Ce fichier Excel a deux feuilles: la première contient la base de données et la seconde, la légende.",busy
19.6,2013,2014,,,Geo-referenced dams database for Oceania,,,"<a href = ""http://www.fao.org/nr/water/aquastat/dams/region/D_Oceania.xlsx""> Link </a>",,,,,Oceania (World),"AUS,NZL,COK,FJI,KIR,MHL,FSM,NRU,NIU,PLW,WSM,SLB,TKL,TON,TUV,VUT,ASM,PYF,GUM,NCL,NFK,MNP,PCN,WLF",Oceania (World),b_main_n,B_d_n,Excel,Table,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,The dam databases are provided as Excel files. Each file has two sheets: the first sheet contains the database and the second sheet contains the legend.,Las bases de datos sobre las presas se presentan como archivos de Excel. Cada archivo tiene dos hojas: la primera hoja contiene la base de datos y la segunda hoja contiene la leyenda.,"Les bases de données sur les barrages sont fournies comme des fichier Excel. Ce fichier Excel a deux feuilles: la première contient la base de données et la seconde, la légende.",busy
19.7,2005,2014,,,Geo-referenced dams database for North America,,,"<a href = ""http://www.fao.org/nr/water/aquastat/dams/region/D_N. America.xlsx""> Link </a>",,,,,Northern America (Americas),"CAN,MEX,USA",Northern America (Americas),b_main_n,B_d_n,Excel,Table,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,The dam databases are provided as Excel files. Each file has two sheets: the first sheet contains the database and the second sheet contains the legend.,Las bases de datos sobre las presas se presentan como archivos de Excel. Cada archivo tiene dos hojas: la primera hoja contiene la base de datos y la segunda hoja contiene la leyenda.,"Les bases de données sur les barrages sont fournies comme des fichier Excel. Ce fichier Excel a deux feuilles: la première contient la base de données et la seconde, la légende.",busy
20.1,2005,2014,,,Geo-referenced dams maps for Africa,,,"<a href = ""http://www.fao.org/nr/water/aquastat/dams/region/D_Africa.kml""> Link </a>",,,,,Africa (World),"DZA,EGY,LBY,MAR,TUN,AGO,CMR,CAF,COG,COD,GNQ,GAB,STP,BDI,ETH,KEN,RWA,UGA,TZA,BEN,CIV,GHA,GIN,GNB,LBR,NGA,SLE,TGO,COM,MDG,MUS,SYC,BWA,LSO,MWI,MOZ,NAM,ZAF,SWZ,ZMB,ZWE,BFA,CPV,TCD,DJI,ERI,GMB,MLI,MRT,NER,SEN,SOM,SDN,MYT,REU,SHN,ESH",Africa (World),b_main_n,B_d_n,Google earth,Map,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"A google .kml file, suitable for viewing basins, rivers and dams in Google Earth. Click on each point for information about each dam. ","Un archivo google .kml, apropiado para ver las cuencas, ríos y presas en Google Earth. Haga clic en cada punto para obtener información acerca de cada presa (en inglés).","Un fichier google .kml, qui permet de voir la localisation des barrages dans Google Earth. Cliquez sur chaque point pour obtenir des informations à propos de chaque barrage (en anglais).",busy
20.2,2011,2014,,,Geo-referenced dams maps for Middle East,,,"<a href = ""http://www.fao.org/nr/water/aquastat/dams/region/D_Middle East.kml""> Link </a>",,,,,Middle East (Asia),"BHR,KWT,OMN,QAT,SAU,ARE,YEM,ARM,AZE,GEO,IRN,IRQ,ISR,JOR,LBN,PSE,SYR,TUR",Middle East (Asia),b_main_n,B_d_n,Google earth,Map,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"A google .kml file, suitable for viewing basins, rivers and dams in Google Earth. Click on each point for information about each dam. ","Un archivo google .kml, apropiado para ver las cuencas, ríos y presas en Google Earth. Haga clic en cada punto para obtener información acerca de cada presa (en inglés).","Un fichier google .kml, qui permet de voir la localisation des barrages dans Google Earth. Cliquez sur chaque point pour obtenir des informations à propos de chaque barrage (en anglais).",busy
20.3,2013,2014,,,Geo-referenced dams maps for Central Asia,,,"<a href = ""http://www.fao.org/nr/water/aquastat/dams/region/D_C. Asia.kml""> Link </a>",,,,,Central Asia (Asia),"AFG,KAZ,KGZ,TJK,TKM,UZB",Central Asia (Asia),b_main_n,B_d_n,Google earth,Map,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"A google .kml file, suitable for viewing basins, rivers and dams in Google Earth. Click on each point for information about each dam. ","Un archivo google .kml, apropiado para ver las cuencas, ríos y presas en Google Earth. Haga clic en cada punto para obtener información acerca de cada presa (en inglés).","Un fichier google .kml, qui permet de voir la localisation des barrages dans Google Earth. Cliquez sur chaque point pour obtenir des informations à propos de chaque barrage (en anglais).",busy
